2024-09-10 15:24:00.700432 ; Session        ; Debug       ; Session log loaded as 'C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin\bin\Debug\SessionLogs\MSBuild.27208 2024-09-10 15-23-53.txt'. [4.18 ms]
2024-09-10 15:24:00.720427 ; Session        ; Debug       ; Running '"C:\Program Files\Microsoft Visual Studio\2022\Professional\MSBuild\Current\Bin\amd64\MSBuild.exe" /nologo /nodemode:1 /nodeReuse:true /low:false' in 'C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin'.
2024-09-10 15:24:00.789043 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [13.2 ms]
2024-09-10 15:24:00.832041 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [36.9 ms]
2024-09-10 15:24:00.870047 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 175 plugin types. [77.1 ms]
2024-09-10 15:24:00.872042 ; PluginManager  ; Debug       ; Found version 9.24.2+bafe5eb4  of OpenTap.dll from C:\Users\gumoreau\.nuget\packages\opentap\9.24.2\build\payload\OpenTap.dll
2024-09-10 15:24:00.872042 ; PluginManager  ; Debug       ; Found version 9.24.2+bafe5eb4  of OpenTap.Package.dll from C:\Users\gumoreau\.nuget\packages\opentap\9.24.2\build\payload\OpenTap.Package.dll
2024-09-10 15:24:00.872042 ; PluginManager  ; Debug       ; Found version 9.24.2+bafe5eb4  of OpenTap.Plugins.BasicSteps.dll from C:\Users\gumoreau\.nuget\packages\opentap\9.24.2\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2024-09-10 15:24:00.872042 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [80.4 ms]
2024-09-10 15:24:00.891042 ; AssemblyData   ; Debug       ; Loaded OpenTap. [644 us]
2024-09-10 15:24:00.892047 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [346 us]
2024-09-10 15:24:00.894042 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [7.25 ms]
2024-09-10 15:24:00.974708 ; AssemblyData   ; Debug       ; Loaded mscorlib. [300 ns]
2024-09-10 15:24:00.991708 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2024-09-10 15:24:00.991708 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9261.0
2024-09-10 15:24:00.991708 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.24.2+bafe5eb4 X64
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; Cloud Drive                      - 0.2.0+7e7541d6
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; CSV                              - 9.13.0+ee94eeff
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; Editor                           - 9.24.1+b1af3ee5
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; Keysight Licensing               - 1.4.5+2bd4be43
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; NATS Server                      - 1.1.0+0b98c8aa
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; OpenTAP                          - 9.24.2+bafe5eb4
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; OSIntegration                    - 1.4.2+15f32a31
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; Results Viewer                   - 9.24.1+b1af3ee5
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; Runner                           - 1.9.2+48d2728c
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; SQLite and PostgreSQL            - 9.4.2+3009aace
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; WPF Controls                     - 9.24.1+b1af3ee5
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; PathWave License Manager         - 2.7.0+398d3a87
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; PathWave License Manager Minimal - 1.1.2+0ff8f1b5
2024-09-10 15:24:01.142196 ; Installation   ; Debug       ; VCRedist                         - 1.1.0+67bba1c4
